id,name_th,name_en
1,กรุงเทพมหานคร,Bangkok
2,สมุทรปราการ,Samut Prakan
3,นนทบุรี,Nonthaburi
4,ปทุมธานี,Pathum Thani
5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
6,อ่างทอง,Ang Thong
7,ลพบุรี,Loburi
8,สิงห์บุรี,Sing Buri
9,ชัยนาท,Chai Nat
10,สระบุรี,Saraburi
11,ชลบุรี,Chon Buri
12,ระยอง,Rayong
13,จันทบุรี,Chanthaburi
14,ตราด,Trat
15,ฉะเชิงเทรา,Chachoengsao
16,ปราจีนบุรี,Prachin Buri
17,นครนายก,Nakhon Nayok
18,สระแก้ว,Sa Kaeo
19,นครราชสีมา,Nakhon Ratchasima
20,บุรีรัมย์,Buri Ram
21,สุรินทร์,Surin
22,ศรีสะเกษ,Si Sa Ket
23,อุบลราชธานี,Ubon Ratchathani
24,ยโสธร,Yasothon
25,ชัยภูมิ,Chaiyaphum
26,อำนาจเจริญ,Amnat Charoen
27,หนองบัวลำภู,Nong Bua Lam Phu
28,ขอนแก่น,Khon Kaen
29,อุดรธานี,Udon Thani
30,เลย,Loei
31,หนองคาย,Nong Khai
32,มหาสารคาม,Maha Sarakham
33,ร้อยเอ็ด,Roi Et
34,กาฬสินธุ์,Kalasin
35,สกลนคร,Sakon Nakhon
36,นครพนม,Nakhon Phanom
37,มุกดาหาร,Mukdahan
38,เชียงใหม่,Chiang Mai
39,ลำพูน,Lamphun
40,ลำปาง,Lampang
41,อุตรดิตถ์,Uttaradit
42,แพร่,Phrae
43,น่าน,Nan
44,พะเยา,Phayao
45,เชียงราย,Chiang Rai
46,แม่ฮ่องสอน,Mae Hong Son
47,นครสวรรค์,Nakhon Sawan
48,อุทัยธานี,Uthai Thani
49,กำแพงเพชร,Kamphaeng Phet
50,ตาก,Tak
51,สุโขทัย,Sukhothai
52,พิษณุโลก,Phitsanulok
53,พิจิตร,Phichit
54,เพชรบูรณ์,Phetchabun
55,ราชบุรี,Ratchaburi
56,กาญจนบุรี,Kanchanaburi
57,สุพรรณบุรี,Suphan Buri
58,นครปฐม,Nakhon Pathom
59,สมุทรสาคร,Samut Sakhon
60,สมุทรสงคราม,Samut Songkhram
61,เพชรบุรี,Phetchaburi
62,ประจวบคีรีขันธ์,Prachuap Khiri Khan
63,นครศรีธรรมราช,Nakhon Si Thammarat
64,กระบี่,Krabi
65,พังงา,Phangnga
66,ภูเก็ต,Phuket
67,สุราษฎร์ธานี,Surat Thani
68,ระนอง,Ranong
69,ชุมพร,Chumphon
70,สงขลา,Songkhla
71,สตูล,Satun
72,ตรัง,Trang
73,พัทลุง,Phatthalung
74,ปัตตานี,Pattani
75,ยะลา,Yala
76,นราธิวาส,Narathiwat
77,บึงกาฬ,buogkan
